day,ta,tx,tn,slp,h,pp,vv,v,vm,vg,ra,sn,ts,fg
2010-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
2010-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
2010-06-25,30.6,34.8,26,1002.9,73,5.08,8.7,4.4,7.6,NA,FALSE,FALSE,TRUE,FALSE
2010-06-26,30.9,36,26,1004.2,71,0,7.4,5.7,14.8,NA,TRUE,FALSE,TRUE,FALSE
2010-06-27,30.3,34,27,1004,75,NA,5.1,3.9,7.2,NA,TRUE,FALSE,FALSE,FALSE
2010-06-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE
2010-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE
2010-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-07-01,28.9,32,24,NA,77,0,10.6,4.8,7.6,NA,FALSE,FALSE,FALSE,FALSE
2010-07-02,27.3,33,23.8,1006.3,82,NA,7.6,6.3,14.8,NA,TRUE,FALSE,TRUE,FALSE
2010-07-03,28,32.5,24.4,1008.4,82,34.04,6.4,5.6,10.7,NA,TRUE,FALSE,TRUE,FALSE
2010-07-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE
2010-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-07-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-07-07,30.8,35.2,24.5,1006.9,68,0,8.9,5.2,10.7,NA,FALSE,FALSE,FALSE,FALSE
2010-07-08,30.7,35.1,24.8,1006,66,0,9.5,6.1,10.7,NA,FALSE,FALSE,TRUE,FALSE
2010-07-09,29.7,34.5,24.5,1005.7,72,1.02,9,5.2,13,NA,FALSE,FALSE,TRUE,FALSE
2010-07-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
2010-07-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE
2010-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE
2010-07-13,28.7,33.5,24.5,NA,79,NA,6.6,6.5,18,NA,TRUE,FALSE,TRUE,FALSE
2010-07-14,28.4,32.5,23,1005.5,78,18.03,8.7,6.1,14.8,NA,TRUE,FALSE,FALSE,FALSE
2010-07-15,27.6,31.3,24.5,1003.8,87,20.07,6.4,4.8,11.1,NA,TRUE,FALSE,TRUE,FALSE
2010-07-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
2010-07-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE
2010-07-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
2010-07-19,28.1,32.5,23.8,1007.8,81,7.11,6.3,5.9,11.1,NA,TRUE,FALSE,TRUE,FALSE
2010-07-20,28.6,32.4,23.1,1007.1,79,25.91,9.2,4.6,7.6,NA,FALSE,FALSE,FALSE,FALSE
2010-07-21,28.6,33,25.2,1006.1,79,0,4.3,5.6,35.9,NA,TRUE,FALSE,TRUE,FALSE
2010-07-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
2010-07-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE
2010-07-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE
2010-07-25,28.4,31.5,22.7,1003.6,83,2.03,5.6,4.4,7.6,NA,FALSE,FALSE,FALSE,FALSE
2010-07-26,28.1,31,25,1004,86,0,6.1,8.1,22.2,NA,TRUE,FALSE,TRUE,FALSE
2010-07-27,27.2,30,24.1,1004.7,87,9.91,6.9,5.6,10.7,NA,TRUE,FALSE,FALSE,FALSE
2010-07-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE
2010-07-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE
2010-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE
2010-07-31,29.3,32.7,24.6,1005.5,81,2.03,6.6,4.1,7.6,NA,TRUE,FALSE,FALSE,FALSE
2010-08-01,28.8,32,23,1005.5,83,0,5,7.2,18,NA,TRUE,FALSE,TRUE,FALSE
2010-08-02,27.4,31.2,22.3,1005.7,83,41.91,4.7,5.7,11.1,NA,TRUE,FALSE,FALSE,FALSE
2010-08-03,26.3,29.5,24.6,NA,89,12.95,4.2,5.2,11.1,NA,TRUE,FALSE,TRUE,FALSE
2010-08-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE
2010-08-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE
2010-08-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
2010-08-07,29.2,33.2,24.6,1002.4,74,12.95,7.9,4.6,10.7,NA,FALSE,FALSE,FALSE,FALSE
2010-08-08,28.2,34,24.4,1001.1,79,0,6.4,5,7.6,NA,TRUE,FALSE,FALSE,FALSE
2010-08-09,27.9,32,24.3,1002.6,85,28.96,3.9,5.2,14.4,NA,TRUE,FALSE,TRUE,FALSE
2010-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE
2010-08-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
2010-08-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE
2010-08-13,26.6,29.5,24.5,NA,90,43.94,5.8,5,7.6,NA,TRUE,FALSE,TRUE,FALSE
2010-08-14,28.6,31,25.5,1005.9,80,9.91,6.4,4.1,10.7,NA,TRUE,FALSE,FALSE,FALSE
2010-08-15,28.9,33,24,1008.8,76,0,6.6,3.9,7.6,NA,TRUE,FALSE,FALSE,FALSE
2010-08-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE
2010-08-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
2010-08-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE
2010-08-19,28.7,33.4,22.5,1009.2,74,23.11,9.7,7.8,14.8,NA,FALSE,FALSE,FALSE,FALSE
2010-08-20,30.1,34.5,25,1007,70,0,9,4.3,10.7,NA,TRUE,FALSE,FALSE,FALSE
2010-08-21,25.8,28.2,24.8,1006.1,93,0.76,2.9,4.1,11.1,NA,TRUE,FALSE,FALSE,FALSE
